Game ID,White,Black,Date of Game,Winner,Time Control,Opening,Black ELO,White ELO,Termination,Variant,Game Movelist
8514566b2f08fb6c211c55d4d2d4beb8b7a2c7fd,dosa15,manoghn,2021.08.19,White,600+5,Queen's Pawn Game: Chigorin Variation,1194,1615,Normal,Standard,"d4,d5,Nf3,Nc6,Bf4,e5,dxe5,Nb4,c3,Na6,e3,Bf5,Nbd2,Nc5,Nb3,Na4,Nfd4,Nxb2,Qc1,Nd3+,Bxd3,Bxd3,Qd1,c5,Qxd3,cxd4,Nxd4,Qa5,O-O,Nh6,Rab1,b6,Nb5,Rb8,Qxd5,a6,Nc7+,Ke7,Bg5+,f6,exf6+,gxf6,Qe6+,Kd8,Bxf6+,Kxc7,Bxh8,Qg5,Be5+,Kd8,Bxb8,Qh4,Qxb6+,Ke8,Qe6+,Be7,Rb7,Ng4,Qg8+,Bf8,Qf7+,Kd8,Qd7#"
9adc5a0498fd50e03467fccefb6af2fcc1532f76,manoghn,Spacemidget,2021.08.19,White,600+0,French Defense,1000,1174,Normal,Standard,"e4,e6,f3,Bd6,h3,Nh6,Qe2,Bg3+,Kd1,Bh4,g3,Bxg3,Qg2,Qg5,h4,Qf4,Rh3,Bxh4,Qxg7,Bf6,Ne2,Qe5,Rh5,Qxh5,Qxf6,Qh1,Qxh8+,Ke7,Ng3,Qxf3+,Be2,Qxg3,d3,Qg1+,Kd2,Qg5+,Kd1,Qg1+,Kd2,Ng4,b3,Nf2,Ba3+,d6,Qxc8,Qg5+,Ke1,Qg1+,Kd2,Nxe4+,dxe4,Qd4+,Bd3,Qxa1,Qxc7+,Nd7,Qxd6+,Kd8,Bb5,Qd4+,Qxd4,Kc8,Qxd7+,Kb8,Bd6#"
ac4092338577809d55e2b5a754d19b21b3cbe897,manoghn,dosa15,2021.08.19,Black,600+5,Ponziani Opening,1615,1174,Normal,Standard,"e4,e5,Nf3,Nc6,c3,Bc5,d4,exd4,cxd4,Bb4+,Bd2,Nf6,d5,Nxe4,dxc6,Bxd2+,Nbxd2,Qe7,Nc4,Nc3+,Nfe5,Nxd1,cxd7+,Bxd7,Rxd1,O-O-O,f4,Bb5,b3,f6,a4,Bxc4,bxc4,fxe5,f5,Qb4+,Rd2,Qxd2#"
e9a8cb9cfc56cdcb57fc851e29de838deb183bbb,bourt4278,manoghn,2021.08.19,White,600+5,Philidor Defense,1220,1149,Normal,Standard,"e4,e5,Nf3,d6,d4,Nc6,d5,Nb4,Bd2,a5,a3,Na6,b4,b6,b5,Nc5,Nc3,a4,Be3,c6,Bxc5,bxc5,bxc6,c4,Nd2,Ba6,Rb1,g6,Nxa4,Bh6,Nb6,Nf6,Ndxc4,Bg5,Bd3,Ng4,Qxg4,f5,Qe2,Bh4,g3,Bg5,f4,exf4,gxf4,Bh4+,Kd1,g5,fxg5,Qxg5,exf5+,Qe7,Qxe7+,Kxe7,Rf1,Rhg8,f6+,Ke8,Nxd6+,Kd8,Bxa6,Rxa6,f7,Rf8,Rg1,Kc7,Nbc4,Ra4,Rb7+,Kd8,Ne5,Rd4+,Nd3,Rxd5,Rb8+,Ke7,Re1+,Kxd6,Re3,Rxb8,c4,Rb1+,Kc2,Rb6,cxd5,Rb8,Re8,Be7,Rg8,Kc7,Rg7,Bxa3,Rg8,Rb2+,Kc3,Rb1,f8=Q,Bxf8,Rxf8,h5,Rh8,Rh1,Rxh5,Rd1,Nf4,Re1,h3,Rc1+,Kd2,Ra1,Rh8,Ra2+,Ke3,Ra3+,Ke4,Ra4+,Kf5,Ra5,h4,Ra4,h5,Ra1,h6,Rh1,Kg6,Rh4,Nh5,Re4,h7,Re5,Rf8,Re7,h8=Q,Re6+,Rf6,Kd6,dxe6,Ke5,Qe8,Ke4,Rf5,Ke3,Qd7,Ke2,Qd4,Ke1,Rf3,Ke2,Rh3,Kf1,Qd2,Kg1,Qe1+,Kg2,Rh1,Kf3,Qf1+,Kg4,Rg1+,Kh4,Qf4+,Kh3,Qg3#"
3d9e4fbeb3f4a287294741ea71da416eaae482e8,MahirChamps,manoghn,2021.08.19,White,600+0,English Opening: Caro-Kann Defensive System,1257,1311,Normal,Standard,"c4,c6,d3,Na6,Nf3,Nc5,g3,b5,Na3,a5,Nd4,a4,cxb5,Nb3,Nxb3,axb3,Qxb3,e6,Bg2,Rb8,Bf4,Rxb5,Nxb5,cxb5,Qxb5,Ne7,O-O-O,Qc7+,Kb1,Nd5,Bxc7,Ke7,Qc5+,Ke8,Qe3,Nxe3,fxe3,Bb4,Be5,Bb7,Bxb7,Ke7,Bxg7,Rb8,Be4,Bc3,Bxc3,Rxb2+,Bxb2,d5,Bg2,e5,d4,e4,Ba3+,Ke6,Rc1,f5,Rhf1,h5,Rc6+,Kd7,Rfc1"
a2ffc883dd9fc37387d6de0bab319e813a25735f,manoghn,Vreddiwar,2021.08.19,Black,600+0,Ponziani Opening: Jaenisch Counterattack,1321,1304,Normal,Standard,"e4,e5,Nf3,Nc6,c3,Nf6,d4,exd4,cxd4,Nxe4,Qe2,Qe7,d5,Na5,h4,Nd6,Ng5,Qxe2+,Bxe2,Be7,f4,Bxg5,fxg5,O-O,h5,Re8,g6,fxg6,hxg6,h6,b4,Nac4,a4,Ne5,Be3,Nxg6,Bd3,Rxe3+,Be2,Nf4,O-O,Nxe2+,Kf2,Re8,Ke1,Ng3+,Kd1,Nxf1,Na3,Ng3,Kc2,c5,b5,a6,b6,Nge4,Rd1,Nf7,Nc4,d6,Rf1,g6,Rf4,Bf5,g4,Bd7,Rxf7,Kxf7,Nxd6+,Nxd6,g5,hxg5,a5,g4"
e0abb02f413bcd3bfd4e93843d95e5c9e9d8187b,GuerMan,manoghn,2021.08.19,White,600+0,King's Pawn Game: Wayward Queen Attack,1363,1354,Normal,Standard,"e4,e5,Qh5,g6,Qxe5+,Be7,Qxh8,f5,Qxg8+,Bf8,Bc4,c6,Qf7#"
4a971cb447ea62de8ce33b5e459ac25500d5166c,manoghn,Bobby0531,2021.08.19,White,600+0,Russian Game,1306,1285,Normal,Standard,"e4,e5,Nf3,Nf6,d3,d6,h3,Be7,g4,d5,g5,Nh5,h4,h6,Rg1,hxg5,hxg5,Nf4,g6,Nxg6,exd5,Qxd5,Be2,Bg4,Rxg4,Nf4,c4,Qa5+,Nbd2,Nxe2,Qxe2,Rh1+,Rg1,f5,Rxh1"
ed400f88ce9f1f25367acc725cad757795439327,manoghn,Atul17,2021.08.16,Black,600+0,Ponziani Opening: Jaenisch Counterattack,1185,1285,Time forfeit,Standard,"e4,e5,Nf3,Nc6,c3,Nf6,d3,b6,g4,Nxg4,d4,exd4,cxd4,Bb4+,Bd2,Qf6,e5,Bxd2+,Nbxd2,Qf4,h3,Nh6,Rg1,O-O,Qc2,Bb7,Bd3,Nxd4,Bxh7+,Kh8,Nxd4,Qh2,O-O-O,Qxf2,Rgf1,Qxd4,Nf3,Qf4+,Qd2,Qxd2+,Rxd2,g6,Ng5,Kg7,Rxd7,Rad8,Rdxf7+,Kh8,Rxf8+,Kg7"
cebc56390359f63e76b0d327929b58e885d673b5,smeggi,manoghn,2021.08.15,White,600+0,Ponziani Opening,1372,1363,Normal,Standard,"e4,e5,Nf3,Nc6,c3,b5,d4,f6,dxe5,fxe5,Bg5,Be7,Qd5,Bxg5,Bxb5,Nge7,Qb3,Bf4,g3,Bg5,h4,Bh6,Nbd2,d5,O-O-O,dxe4,Kb1,Nf5,Bxc6+,Bd7,Bxa8,Qxa8,Nxe4,Qc8,Nxe5,c6,Qf7+,Kd8,Rxd7+,Qxd7,Qxd7#"
